sd_mult,sl_mult,tp1_mult,tp2_mult,tp3_mult,rsi_bull,rsi_bear,piv_left,piv_right,train_trades,train_profit_factor,train_win_rate,train_expectancy_r,test_trades,test_profit_factor,test_win_rate,test_expectancy_r,test_net_pnl_usd,test_max_drawdown_usd,test_avg_bars_held
1.0,2.0,0.5,2.0,3.5,30.0,70.0,3,2,49,1.5088240429958224,0.5510204081632653,0.1307713860436593,24,1.234697398542698,0.5833333333333334,0.11660797727743562,2291.2057735420944,-4014.7833027021666,23.916666666666668
1.0,1.5,1.0,1.5,3.5,40.0,70.0,3,2,52,1.2457446696340067,0.6153846153846154,0.1407536058250421,29,1.2338544629847958,0.5517241379310345,0.13219043261843189,2607.1374858206227,-3426.9308740658144,20.0
0.5,2.0,0.5,1.5,4.0,30.0,50.0,3,2,36,1.3278268878263593,0.5833333333333334,0.06287769203468002,19,1.2303100077446614,0.631578947368421,0.13035392932583534,1697.8577994972638,-4014.7833027021666,18.105263157894736
1.0,1.5,1.5,1.5,3.5,40.0,50.0,3,2,48,1.4134108573784934,0.5833333333333334,0.15438992725117864,26,1.2278663289838077,0.5769230769230769,0.15160937534782615,2810.4423038212767,-4528.14959394548,20.5
1.0,1.5,1.5,1.5,4.0,40.0,50.0,3,2,48,1.4154183737768324,0.5833333333333334,0.15445628443257506,26,1.2275386409094629,0.5769230769230769,0.15163509447254542,2806.400686831599,-4528.14959394548,21.346153846153847
0.5,1.5,0.5,1.5,3.5,30.0,50.0,3,2,37,1.6603164018835987,0.5945945945945946,0.16056762744578162,21,1.2256003217012166,0.6190476190476191,0.18651725089404816,1739.9940760762115,-4437.524128218563,14.666666666666666
0.5,1.5,1.0,1.5,3.5,40.0,50.0,3,2,34,1.618518224641064,0.6470588235294118,0.1680053444338448,21,1.2249546830831655,0.6190476190476191,0.20745291960381296,2005.655488391938,-4437.524128218563,14.19047619047619
1.0,2.0,1.0,2.5,3.5,30.0,70.0,3,2,49,1.5723563814089125,0.5714285714285714,0.1584356749072076,21,1.217907317019306,0.5714285714285714,0.12957439637419205,2437.1133804913848,-4014.7833027021666,25.523809523809526
0.5,1.5,1.0,1.5,3.0,40.0,50.0,3,2,35,1.5597198739057743,0.6285714285714286,0.14445777078550012,21,1.2175679632968943,0.6190476190476191,0.20489433148361944,1939.7968235377775,-4437.524128218563,13.80952380952381
0.5,1.5,0.5,1.5,3.0,30.0,50.0,3,2,38,1.5882585374678844,0.5789473684210527,0.13907480216409748,21,1.2160732986846725,0.6190476190476191,0.18395866277385467,1666.5147322241105,-4437.524128218563,14.285714285714286
0.5,2.0,0.5,2.5,4.0,30.0,50.0,3,2,35,1.3243173743896095,0.5428571428571428,0.08560629869694651,19,1.2153648616801698,0.5789473684210527,0.14175229519086954,1740.282151104087,-4014.7833027021666,18.105263157894736
1.0,1.5,1.5,1.5,3.0,40.0,50.0,3,2,50,1.4052862602033263,0.58,0.1487085172649735,26,1.2151917069271667,0.5769230769230769,0.1454592530308032,2654.116908262454,-4528.14959394548,20.384615384615383
0.5,2.0,1.0,2.5,3.5,40.0,70.0,3,2,34,1.2341323393374035,0.6176470588235294,0.11136069474362362,21,1.2130809918668028,0.5714285714285714,0.19116811572363931,2214.090158469094,-4897.750050139059,20.333333333333332
1.0,1.5,0.5,1.5,4.0,40.0,70.0,3,2,51,1.2122329875988025,0.5882352941176471,0.118829262512971,28,1.3094419778983881,0.5714285714285714,0.14378093027925049,2748.352616084853,-2773.1930010934216,20.964285714285715
1.0,2.0,1.5,2.0,4.0,30.0,70.0,3,2,44,1.367241227499684,0.5454545454545454,0.1248245565037506,21,1.2110119913493522,0.5238095238095238,0.13220932542801628,2471.32805953415,-4142.183302702167,25.61904761904762
0.5,2.0,1.0,2.5,3.5,30.0,70.0,3,2,36,1.2095920153141098,0.6111111111111112,0.10476651323318276,21,1.5054198020183993,0.6190476190476191,0.25786851815301304,4872.5600247568145,-4014.7833027021666,20.571428571428573
1.0,1.5,1.0,1.5,3.5,30.0,70.0,3,2,53,1.2095070977683384,0.5849056603773585,0.11431941754205617,30,1.5017968180290533,0.6,0.20474597480269738,5354.804443977349,-3426.930874065814,20.133333333333333
0.5,2.0,1.5,2.5,3.0,30.0,70.0,3,2,37,1.205964019960332,0.5675675675675675,0.10706992129408129,21,1.4747944454343822,0.6190476190476191,0.27089212162051224,5170.285191629009,-4014.7833027021666,20.142857142857142
1.0,1.5,1.5,2.0,3.5,40.0,50.0,3,2,47,1.38693627728361,0.5106382978723404,0.16747199804506505,24,1.2059283051988807,0.5,0.11555051959202339,2324.644866842191,-3740.31070067132,20.541666666666668
1.0,1.5,1.5,2.0,4.0,40.0,50.0,3,2,47,1.3889381849141589,0.5106382978723404,0.1675397670813848,24,1.2031206075514518,0.5,0.11418949308824716,2292.949855719573,-3740.31070067132,21.416666666666668
0.5,2.0,0.5,1.5,4.0,40.0,50.0,3,2,34,1.414311920559839,0.5882352941176471,0.0728901781805033,19,1.2023994234377882,0.631578947368421,0.130239438465084,1492.099466552876,-4065.194675574327,17.894736842105264
0.5,1.5,1.0,1.5,4.0,30.0,50.0,3,2,36,1.5949501059459172,0.6388888888888888,0.15982875427854398,20,1.2022091216952953,0.6,0.17810500332073137,1802.8601546434425,-4556.502162270488,15.8
1.0,1.5,1.0,2.0,4.0,30.0,70.0,3,2,50,1.2017449303933772,0.52,0.12843177842316764,27,1.2989971361365047,0.48148148148148145,0.15462624032352418,3230.275669847318,-3412.840954644542,21.51851851851852
0.5,1.5,0.5,1.5,3.5,40.0,50.0,3,2,35,1.7443443904100948,0.6,0.17220650691463163,21,1.1999106259223413,0.6190476190476191,0.1863791349350466,1541.8564221297643,-4437.524128218563,14.19047619047619
0.5,2.0,1.5,1.5,3.5,30.0,50.0,3,2,32,1.1960204216337424,0.59375,0.04006608467999194,20,1.2095705777388885,0.65,0.16508261483048234,2251.1019917787994,-3983.582507299125,17.9
1.0,2.0,0.5,1.5,3.5,30.0,70.0,3,2,50,1.7926461673809648,0.64,0.15035997578178675,24,1.195218709977936,0.625,0.10204203000654799,1767.4738712716853,-4014.7833027021666,23.916666666666668
1.0,1.5,1.5,2.0,3.0,40.0,50.0,3,2,44,1.2446872599830439,0.4772727272727273,0.12409453672389663,24,1.1945299158973037,0.5,0.11027677597080394,2195.972865416308,-3740.31070067132,20.416666666666668
0.5,2.0,1.0,2.5,3.0,40.0,70.0,3,2,35,1.1933488347180456,0.6,0.08640774327834691,21,1.1976144168400942,0.5714285714285714,0.1842668116673561,2053.379476339054,-4946.242072147497,19.952380952380953
0.5,1.5,0.5,1.5,3.0,40.0,50.0,3,2,36,1.66123340728604,0.5833333333333334,0.14919633357649686,21,1.1913716681280617,0.6190476190476191,0.18382054681485313,1475.9977572756038,-4437.524128218563,13.80952380952381
0.5,2.0,1.5,1.5,3.5,40.0,50.0,3,2,30,1.3363987554328873,0.6,0.06529705805343432,20,1.1854488881794718,0.65,0.1649738485127683,1991.9989058488277,-4242.685593229097,17.4
1.0,2.0,1.0,2.5,3.0,30.0,70.0,3,2,50,1.3708461918751171,0.54,0.10965996609680903,23,1.1851690583418877,0.5652173913043478,0.1239559376716433,2426.324388562829,-4353.0710191692715,23.26086956521739
0.5,2.0,1.5,2.5,4.0,30.0,70.0,3,2,34,1.1809467743646367,0.5588235294117647,0.10558508660618494,20,1.4341343988419897,0.6,0.2480339089454655,4727.516665566617,-4128.8701890431275,22.25
0.5,2.0,0.5,2.5,4.0,40.0,50.0,3,2,33,1.402787146593252,0.5454545454545454,0.09729968482671995,19,1.1804708764384197,0.5789473684210527,0.14163780433011883,1458.3170281803305,-4014.7833027021666,17.894736842105264
0.5,1.5,0.5,1.5,4.0,30.0,50.0,3,2,37,1.6614252472206217,0.5945945945945946,0.15681660861141317,20,1.1804149373832393,0.6,0.16264419608519146,1391.4914655939704,-4437.524128218563,15.8
0.5,2.0,1.5,1.5,3.0,40.0,50.0,3,2,31,1.2868026140574051,0.5806451612903226,0.041670707795462385,20,1.1793176517925803,0.65,0.1629589603681159,1926.1402409946672,-4266.1916449303,17.0
0.5,2.0,0.5,2.0,4.0,40.0,70.0,3,2,38,1.1860927824514653,0.5526315789473685,0.06706363366753658,22,1.1769164031705257,0.5909090909090909,0.13064707946417897,1552.9781079877393,-4697.183617278825,21.818181818181817
0.5,1.5,1.0,1.5,4.0,40.0,50.0,3,2,34,1.6194493771112715,0.6470588235294118,0.16392335334938493,20,1.1757122828302742,0.6,0.17795998156377948,1566.619105707292,-4792.743211206638,15.6
1.0,1.5,1.5,1.5,3.5,40.0,70.0,3,2,51,1.2219177201022533,0.5882352941176471,0.1494189040431105,28,1.17398652067088,0.5714285714285714,0.16162540589545982,2376.1155369472867,-4248.474655391008,20.607142857142858
0.5,2.0,1.0,2.5,3.0,30.0,70.0,3,2,37,1.171580074013177,0.5945945945945946,0.0813405910771221,21,1.48374308759483,0.6190476190476191,0.24977673790625352,4663.583067885411,-4014.7833027021666,20.142857142857142
1.0,2.0,0.5,2.5,4.0,40.0,70.0,3,2,44,1.3261199357608588,0.5227272727272727,0.12430244143232509,24,1.170686481242673,0.5416666666666666,0.1236787997707986,1825.4161464163972,-4903.240033847841,23.791666666666668
0.5,1.5,1.5,2.0,4.0,40.0,70.0,3,2,39,1.1735116058051673,0.5384615384615384,0.13732611928065083,23,1.1664429430132872,0.5217391304347826,0.167488019674577,1808.526244038529,-5728.524355330845,19.73913043478261
1.0,2.0,0.5,2.5,3.0,40.0,70.0,3,2,47,1.1636183229269672,0.48936170212765956,0.08573449335156624,25,1.2956937902920216,0.56,0.14658468463353286,3162.3138239443347,-4903.240033847841,22.44
1.0,1.5,1.0,2.0,3.5,30.0,70.0,3,2,52,1.19963844088429,0.5192307692307693,0.12533585462249106,28,1.1624209136735537,0.4642857142857143,0.1089552542052592,1942.5840856168534,-3412.840954644542,20.392857142857142
0.5,2.0,1.5,1.5,4.0,30.0,50.0,3,2,32,1.1984814205847756,0.59375,0.03763252713087911,19,1.1616881701421262,0.631578947368421,0.13703518612138296,1736.7731948875994,-4589.913776088563,19.263157894736842
1.0,1.5,1.0,1.5,3.5,40.0,50.0,3,2,48,1.4200743481289748,0.6041666666666666,0.13626095197174073,26,1.1614045337466254,0.5769230769230769,0.10671609743127328,1831.0953050779422,-3539.1748493328664,20.5
1.0,1.5,1.0,1.5,4.0,40.0,50.0,3,2,48,1.4224191240657715,0.6041666666666666,0.1363273091531372,26,1.1610482795942652,0.5769230769230769,0.1067418165559925,1827.0536880882642,-3539.1748493328664,21.346153846153847
