min_gap_atr,sl_atr_mult,rr_target,min_body_ratio,min_range_atr,max_ifvg_age,clean_break_buffer_atr,touch_tol_atr,train_trades,train_profit_factor,train_win_rate,train_expectancy_r,test_trades,test_profit_factor,test_win_rate,test_expectancy_r,test_net_pnl_usd,test_max_drawdown_usd,test_avg_bars_held
0.75,0.75,1.5,0.5,0.8,90,0.1,0.05,58,2.31371120418136,0.603448275862069,0.4966430783803261,30,2.518791570378476,0.6,0.49477696613318844,4613.93572904278,-1092.8104160314324,2.466666666666667
0.75,0.75,1.5,0.5,0.4,90,0.1,0.05,58,2.31371120418136,0.603448275862069,0.4966430783803261,30,2.518791570378476,0.6,0.49477696613318844,4613.93572904278,-1092.8104160314324,2.466666666666667
0.75,0.75,1.5,0.3,0.8,90,0.1,0.05,61,2.5197071229030454,0.6229508196721312,0.5484467636361379,31,2.3046742718348794,0.5806451612903226,0.4523635500813673,4331.697678107768,-1092.8104160314324,2.3870967741935485
0.75,0.75,1.5,0.3,0.6,90,0.1,0.05,61,2.5197071229030454,0.6229508196721312,0.5484467636361379,31,2.3046742718348794,0.5806451612903226,0.4523635500813673,4331.697678107768,-1092.8104160314324,2.3870967741935485
0.75,0.75,1.5,0.3,0.4,90,0.1,0.05,61,2.5197071229030454,0.6229508196721312,0.5484467636361379,31,2.3046742718348794,0.5806451612903226,0.4523635500813673,4331.697678107768,-1092.8104160314324,2.3870967741935485
0.75,0.75,1.5,0.3,0.6,90,0.1,0.0,61,2.48323655188267,0.6229508196721312,0.5525002958995984,31,2.292217966800843,0.5806451612903226,0.4531277274019034,4309.523977972887,-1092.8104160314324,2.3225806451612905
0.75,0.75,1.5,0.3,0.8,90,0.1,0.0,61,2.48323655188267,0.6229508196721312,0.5525002958995984,31,2.292217966800843,0.5806451612903226,0.4531277274019034,4309.523977972887,-1092.8104160314324,2.3225806451612905
0.75,0.75,1.5,0.3,0.4,90,0.1,0.0,61,2.48323655188267,0.6229508196721312,0.5525002958995984,31,2.292217966800843,0.5806451612903226,0.4531277274019034,4309.523977972887,-1092.8104160314324,2.3225806451612905
0.75,0.75,1.5,0.5,0.8,90,0.1,0.0,58,2.283085304059894,0.603448275862069,0.5035714704791359,30,2.5041424156931664,0.6,0.4955666160310759,4591.762028907899,-1092.8104160314324,2.4
0.75,0.75,1.5,0.5,0.6,90,0.1,0.0,58,2.283085304059894,0.603448275862069,0.5035714704791359,30,2.5041424156931664,0.6,0.4955666160310759,4591.762028907899,-1092.8104160314324,2.4
0.75,0.75,1.5,0.5,0.4,90,0.1,0.0,58,2.283085304059894,0.603448275862069,0.5035714704791359,30,2.5041424156931664,0.6,0.4955666160310759,4591.762028907899,-1092.8104160314324,2.4
0.75,0.75,1.5,0.3,0.6,60,0.1,0.0,66,2.5167574793455505,0.6212121212121212,0.5406858537222957,32,2.2775965178140773,0.59375,0.4407338111908452,4560.255316340874,-1092.8104160314324,2.625
0.75,0.75,1.5,0.3,0.8,60,0.1,0.0,66,2.5167574793455505,0.6212121212121212,0.5406858537222957,32,2.2775965178140773,0.59375,0.4407338111908452,4560.255316340874,-1092.8104160314324,2.625
0.75,0.75,1.5,0.3,0.4,60,0.1,0.0,66,2.5167574793455505,0.6212121212121212,0.5406858537222957,32,2.2775965178140773,0.59375,0.4407338111908452,4560.255316340874,-1092.8104160314324,2.625
0.75,0.75,1.5,0.5,0.4,120,0.1,0.05,59,2.2445895036145775,0.5932203389830508,0.484424577384645,30,2.780756640974568,0.6333333333333333,0.5330965472291257,4907.0535313769215,-1385.5976642864262,2.466666666666667
0.75,0.75,1.5,0.5,0.6,120,0.1,0.05,59,2.2445895036145775,0.5932203389830508,0.484424577384645,30,2.780756640974568,0.6333333333333333,0.5330965472291257,4907.0535313769215,-1385.5976642864262,2.466666666666667
0.75,0.75,1.5,0.5,0.8,120,0.1,0.05,59,2.2445895036145775,0.5932203389830508,0.484424577384645,30,2.780756640974568,0.6333333333333333,0.5330965472291257,4907.0535313769215,-1385.5976642864262,2.466666666666667
0.75,0.75,1.5,0.5,0.4,60,0.1,0.0,63,2.1598489413596593,0.5873015873015873,0.4620864429412626,31,2.4731524590936953,0.6129032258064516,0.48140389966388103,4842.493367275885,-1092.8104160314324,2.7096774193548385
