tf,src,at_mult,tp_r_mult,sl_buffer_atr,train_n,train_pf,train_exp,test_n,test_pf,test_exp,piv_atr_factor,piv_period,diy_swing_length,diy_box_width
0656b659-CME_MINI_MNQ1_5.csv,at,1.5,2.0,0.05,466,0.7910113064581956,-0.1603882408928593,209,0.6811077797093213,-0.24674217398782453,,,,
0656b659-CME_MINI_MNQ1_5.csv,at,1.5,2.0,0.1,442,0.8444574539724684,-0.12395939407186425,201,0.6988344397187684,-0.23407881179583412,,,,
0656b659-CME_MINI_MNQ1_5.csv,at,1.5,2.0,0.2,373,0.8786834602607231,-0.06332343883343818,175,0.6983369845240534,-0.22704373606258021,,,,
0656b659-CME_MINI_MNQ1_5.csv,at,1.5,2.0,0.3,336,0.8933048343113796,-0.04559489237752232,157,0.7509891467375768,-0.17053974845904746,,,,
0656b659-CME_MINI_MNQ1_5.csv,at,1.5,2.5,0.05,432,0.8201420975067122,-0.14604411485466656,191,0.6747895968244187,-0.26089694514206974,,,,
0656b659-CME_MINI_MNQ1_5.csv,at,1.5,2.5,0.1,407,0.9073079000518595,-0.08608224740558616,187,0.6367033642093632,-0.2973769603094317,,,,
0656b659-CME_MINI_MNQ1_5.csv,at,1.5,2.5,0.2,353,0.8812952437059102,-0.05669973052242496,160,0.6785934039251157,-0.24415769035152293,,,,
0656b659-CME_MINI_MNQ1_5.csv,at,1.5,2.5,0.3,317,0.8707502329265402,-0.06452989122177794,139,0.7536816282065643,-0.18645625952576264,,,,
0656b659-CME_MINI_MNQ1_5.csv,at,1.5,3.0,0.05,422,0.8305099079852718,-0.14476834464083788,180,0.5803588852007745,-0.36413698796463684,,,,
0656b659-CME_MINI_MNQ1_5.csv,at,1.5,3.0,0.1,396,0.9439557630460977,-0.06532933623747054,178,0.6265960347420176,-0.317938645158088,,,,
0656b659-CME_MINI_MNQ1_5.csv,at,1.5,3.0,0.2,330,0.9580449843201537,0.003226675066310965,143,0.6431365095529838,-0.29181795515394415,,,,
0656b659-CME_MINI_MNQ1_5.csv,at,1.5,3.0,0.3,293,0.9809781343826919,0.025355291804150377,134,0.6974471141742993,-0.25085624350807345,,,,
0656b659-CME_MINI_MNQ1_5.csv,at,2.0,0.5,0.05,577,0.4251173901941688,-0.28264156530304696,277,0.4141957250021196,-0.2824447172337297,,,,
0656b659-CME_MINI_MNQ1_5.csv,at,2.0,0.5,0.1,565,0.49140834826772756,-0.23421467195026402,260,0.4630695080053356,-0.2490552027977974,,,,
0656b659-CME_MINI_MNQ1_5.csv,at,2.0,0.5,0.2,512,0.5537542077833744,-0.1935925671517265,234,0.5862783301926386,-0.17287896222837085,,,,
0656b659-CME_MINI_MNQ1_5.csv,at,2.0,0.5,0.3,460,0.6314015699375799,-0.14546382145751033,212,0.6335204709192487,-0.14306162057392827,,,,
0656b659-CME_MINI_MNQ1_5.csv,at,2.0,1.0,0.05,432,0.6199306682421095,-0.22923455252290117,205,0.6728180633876182,-0.1827668768738147,,,,
0656b659-CME_MINI_MNQ1_5.csv,at,2.0,1.0,0.1,422,0.654657236734747,-0.20263327807864853,188,0.6741073599598572,-0.19458475908207223,,,,
0656b659-CME_MINI_MNQ1_5.csv,at,2.0,1.0,0.2,380,0.7502861085689914,-0.13325086271389808,170,0.65307017719968,-0.21068284606255733,,,,
0656b659-CME_MINI_MNQ1_5.csv,at,2.0,1.0,0.3,330,0.8677371485567171,-0.04951066070946816,162,0.6263630513766942,-0.1953838144069519,,,,
0656b659-CME_MINI_MNQ1_5.csv,at,2.0,1.5,0.05,383,0.680303010700183,-0.22627870953030524,200,0.8043926055305802,-0.11751465947454534,,,,
0656b659-CME_MINI_MNQ1_5.csv,at,2.0,1.5,0.1,380,0.7446423199338693,-0.17606644124061066,180,0.7462548376741677,-0.17342475130015605,,,,
0656b659-CME_MINI_MNQ1_5.csv,at,2.0,1.5,0.2,341,0.8494264296258806,-0.09722076738786274,155,0.6238366620749457,-0.2528435765241764,,,,
0656b659-CME_MINI_MNQ1_5.csv,at,2.0,1.5,0.3,295,0.8371568728723755,-0.07778938874574565,145,0.6470464352158751,-0.21976360436321368,,,,
0656b659-CME_MINI_MNQ1_5.csv,at,2.0,2.0,0.05,377,0.7053426018216418,-0.22274424373373242,166,0.7929035032737336,-0.14920413970030785,,,,
0656b659-CME_MINI_MNQ1_5.csv,at,2.0,2.0,0.1,361,0.885958330975124,-0.08300241436078132,164,0.9002934599475647,-0.07294699545419553,,,,
0656b659-CME_MINI_MNQ1_5.csv,at,2.0,2.0,0.2,301,0.8465438685012291,-0.11071083117290645,140,0.71101554198405,-0.2036314955339365,,,,
0656b659-CME_MINI_MNQ1_5.csv,at,2.0,2.0,0.3,267,0.8252057215447286,-0.09825794900302556,127,0.6907297527630074,-0.1918939559710789,,,,
0656b659-CME_MINI_MNQ1_5.csv,at,2.0,2.5,0.05,344,0.7364492735779699,-0.20584734044202996,152,0.7634959695972834,-0.18407660784363716,,,,
0656b659-CME_MINI_MNQ1_5.csv,at,2.0,2.5,0.1,328,0.8519369271680608,-0.11242842311723478,147,0.7830584370159919,-0.16093478091392713,,,,
0656b659-CME_MINI_MNQ1_5.csv,at,2.0,2.5,0.2,284,0.8731103124236081,-0.08168504875351128,133,0.7197466859763623,-0.1987556248018566,,,,
0656b659-CME_MINI_MNQ1_5.csv,at,2.0,2.5,0.3,252,0.8005652307947791,-0.12664475408013554,109,0.7073962261050103,-0.19971115800263706,,,,
0656b659-CME_MINI_MNQ1_5.csv,at,2.0,3.0,0.05,313,0.7635686423961859,-0.20577135101340793,143,0.7076854696497562,-0.2372936826551574,,,,
0656b659-CME_MINI_MNQ1_5.csv,at,2.0,3.0,0.1,304,0.8992461618389851,-0.0858311711042047,134,0.7102435972588379,-0.21283504802600076,,,,
0656b659-CME_MINI_MNQ1_5.csv,at,2.0,3.0,0.2,264,0.8779444397153062,-0.07323523028713395,121,0.6768636462653222,-0.23567003875822878,,,,
0656b659-CME_MINI_MNQ1_5.csv,at,2.0,3.0,0.3,233,0.8283568584932284,-0.1207158862500094,107,0.7591227070632313,-0.18453319433728252,,,,
0656b659-CME_MINI_MNQ1_5.csv,at,2.5,0.5,0.05,462,0.40059252823470626,-0.3010484940742489,258,0.43775359767364436,-0.27073475678480113,,,,
0656b659-CME_MINI_MNQ1_5.csv,at,2.5,0.5,0.1,442,0.4515382067894253,-0.2547044376956245,236,0.4693504613463705,-0.23400726315287018,,,,
0656b659-CME_MINI_MNQ1_5.csv,at,2.5,0.5,0.2,402,0.5208020847480593,-0.20801629456034526,206,0.5492077165770127,-0.19880560230573213,,,,
0656b659-CME_MINI_MNQ1_5.csv,at,2.5,0.5,0.3,372,0.5901866186197199,-0.16852376307936578,187,0.6613553259875717,-0.12954267627523375,,,,
