length,mode,sl_atr_mult,rr_target,train_trades,train_profit_factor,train_win_rate,train_expectancy_r,test_trades,test_profit_factor,test_win_rate,test_expectancy_r,test_net_return_pct,test_buy_hold_pct,test_max_drawdown_pct,test_avg_bars_held
20,Hma,0.5,2.0,743,0.9601593625498008,0.3243606998654105,-0.026917900403768506,303,0.8995215311004785,0.3102310231023102,-0.06930693069306931,-21.26427759717071,1.3473041045576561,-38.47814962350008,1.4026402640264026
13,Hma,0.5,1.5,922,1.0009041591320071,0.4002169197396963,0.0005422993492407809,409,0.896484375,0.3740831295843521,-0.0647921760391198,-25.54150030988007,1.3473041045576561,-29.94972240570808,0.9731051344743277
8,Ehma,1.5,2.0,391,0.8962962962962963,0.309462915601023,-0.07161125319693094,153,0.9514563106796117,0.3223684210526316,-0.03289473684210526,-6.279745367038814,1.3473041045576561,-24.954249195323897,14.660130718954248
34,Hma,1.0,1.0,424,0.9629629629629629,0.49056603773584906,-0.018867924528301886,182,0.8958333333333334,0.4725274725274725,-0.054945054945054944,-10.336264803415506,1.3473041045576561,-15.405903122970088,3.3351648351648353
20,Hma,0.5,1.5,752,0.9468546637744034,0.386968085106383,-0.032579787234042555,305,0.8952879581151832,0.3737704918032787,-0.06557377049180328,-19.93347414812923,1.3473041045576561,-38.89083007336307,1.062295081967213
20,Thma,1.5,1.5,453,1.0488721804511278,0.41150442477876104,0.028761061946902654,175,0.8944954128440367,0.3735632183908046,-0.06609195402298851,-11.990620849877608,1.3473041045576561,-17.631535821646192,11.108571428571429
20,Thma,2.5,2.0,160,1.0285714285714285,0.33962264150943394,0.018867924528301886,69,0.8936170212765957,0.3088235294117647,-0.07352941176470588,-5.494354439774729,1.3473041045576561,-14.198988720485561,38.10144927536232
13,Thma,1.5,2.0,431,0.9757785467128027,0.32790697674418606,-0.01627906976744186,160,0.8909090909090909,0.3081761006289308,-0.07547169811320754,-12.646598259597253,1.3473041045576561,-25.726846700772988,14.5875
55,Thma,1.0,1.0,356,0.9139784946236559,0.47752808988764045,-0.0449438202247191,155,0.8902439024390244,0.47096774193548385,-0.05806451612903226,-9.31274779075516,1.3473041045576561,-15.16021187715043,3.0193548387096776
8,Thma,2.0,1.5,357,0.9953271028037384,0.398876404494382,-0.0028089887640449437,130,0.8888888888888888,0.37209302325581395,-0.06976744186046512,-9.464106842298015,1.3473041045576561,-20.845947652172235,19.923076923076923
13,Thma,0.75,2.0,946,0.9439252336448598,0.32063492063492066,-0.0380952380952381,427,0.888135593220339,0.3075117370892019,-0.07746478873239436,-30.97523971039825,1.3473041045576561,-46.21049739590409,3.1943793911007026
55,Thma,1.5,1.0,312,0.9872611464968153,0.4967948717948718,-0.00641025641025641,135,0.8873239436619719,0.4701492537313433,-0.05970149253731343,-8.305061253130742,1.3473041045576561,-13.351010517777029,7.518518518518518
34,Hma,1.0,2.0,387,1.035294117647059,0.34108527131782945,0.023255813953488372,167,0.8869565217391304,0.3072289156626506,-0.0783132530120482,-13.571666598406084,1.3473041045576561,-15.8883576929864,6.622754491017964
20,Thma,2.0,1.0,385,0.9692307692307692,0.4921875,-0.015625,150,0.8860759493670886,0.4697986577181208,-0.06040268456375839,-9.285536172950316,1.3473041045576561,-19.3424077774749,13.52
13,Hma,1.5,1.5,448,0.9705882352941176,0.39285714285714285,-0.017857142857142856,171,0.883177570093458,0.37058823529411766,-0.07352941176470588,-12.838141145590276,1.3473041045576561,-19.868573509895015,11.836257309941521
34,Hma,1.0,1.5,412,1.0643153526970954,0.41504854368932037,0.03762135922330097,176,0.8783783783783784,0.3693181818181818,-0.07670454545454546,-13.742007494965103,1.3473041045576561,-17.723847744515975,4.857954545454546
8,Ehma,1.0,1.5,736,1.0056818181818181,0.4013605442176871,0.003401360544217687,345,0.8778801843317973,0.3691860465116279,-0.07703488372093023,-25.17881307868244,1.3473041045576561,-38.320981925906715,4.0
20,Thma,0.75,1.0,877,0.9359823399558499,0.48346636259977194,-0.0330672748004561,396,0.8767772511848341,0.4671717171717172,-0.06565656565656566,-24.407238689854015,1.3473041045576561,-32.760782335227866,1.5075757575757576
55,Thma,1.5,1.5,277,1.049079754601227,0.41155234657039713,0.02888086642599278,123,0.8766233766233766,0.36885245901639346,-0.0778688524590164,-9.867402873938468,1.3473041045576561,-14.538939073435497,10.926829268292684
8,Hma,1.0,1.5,813,0.9341317365269461,0.3837638376383764,-0.04059040590405904,359,0.8761061946902655,0.3687150837988827,-0.0782122905027933,-26.36715923418077,1.3473041045576561,-33.10701782405676,4.342618384401114
8,Thma,0.5,2.0,1570,0.9857278782112274,0.3301465901848311,-0.009560229445506692,684,0.8757894736842106,0.30453879941434847,-0.08638360175695461,-48.053874513268305,1.3473041045576561,-59.84924349639663,1.3523391812865497
8,Hma,0.75,1.0,1142,0.9437819420783645,0.4855390008764242,-0.028921998247151623,528,0.8754448398576512,0.4667931688804554,-0.06641366223908918,-31.364684804712827,1.3473041045576561,-39.487311522156745,1.4147727272727273
